商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
"「村松誠イラスト」ラベル ""猫” TOMARTIN 2008 13年 49.4% 700MLウイスキー・ミュウ","香り：フレッシュで、ややワクシー。みかんの皮。ピーナッツ。オレンジ風味のキャンディー。
味わい：麦芽の甘さ。ややジンジャーのよう。白コショウ。アニスシードなどのスパイス。加水するとややスパイシーさが強まるが、最後にトロピカル風味がでる。
フィニッシュ：温かく、パウダリーなフィニッシュ。",https://www.saketry.com/113232.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,49.4,700,トマーティン蒸溜所,2008,13
"「村松誠イラスト」ラベル ""犬” TOMARTIN 2008 13年 49.4% 700ML漫画ラベル","香り：フレッシュで、ややワクシー。みかんの皮。ピーナッツ。オレンジ風味のキャンディー。
味わい：麦芽の甘さ。ややジンジャーのよう。白コショウ。アニスシードなどのスパイス。加水するとややスパイシーさが強まるが、最後にトロピカル風味がでる。
フィニッシュ：温かく、パウダリーなフィニッシュ。",https://www.saketry.com/113233.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,49.4,700,トマーティン蒸溜所,2008,13
「三丁目の夕日」ラベル あかし 3年 (トロンセ樽) 63% 500ML漫画ラベル,"香り：リッチで力強い。巨木の樹皮。熟成庫の床。干し柿やデーツ。いつまでも嗅いでいたいエレガントな香り。
味わい：心地よいウッディーさと、スパイシーさ。トーストした樽材と、スモークしたような穀物。加水するとやや明るい印象となる。
フィニッシュ：深みのある温かいフィニッシュ。",https://www.saketry.com/113234.html,日本,兵庫県,漫画ラベルシリーズ,,63,500,江井ヶ嶋蒸留所,,3
嘉之助「ダブル ディスティラリー」53% 700MLダブル ディスティラリー,,https://www.saketry.com/113235.html,日本,鹿児島,ダブルディスティラリー,小正嘉之助蒸留所株式会社,53,700,嘉之助蒸溜所 & 日置蒸溜蔵,,
MARS The.Y.A. #03 51% 700mlMARS The.Y.A.,,https://www.saketry.com/113236.html,日本,鹿児島,MARS The Y.A,本坊酒造,51,700,マルス信州蒸溜所&マルス津貫蒸溜所,,
ザ クライドサイド 2018 5年 FOR  スリーリバーズ 20th アニバーサリー 58.6% 700mlクライドサイド,"香り：バニラ&シナモン、カスタードクリーム、アニス、アマレット。
味わい：バニラ、バナナチップ、シナモンパウダー、アニスにバニラアイス。
フィニッシュ：スパイスとクローブのビターがホットに続く。",https://www.saketry.com/113237.html,スコットランド,ローランド,,AD ラトレー,58.6,700,クライドサイド蒸溜所,2018,5
『釣りバカ日誌』ラベル シークレットアイラ 2013 ８年 53.4% 700ml漫画ラベル,"香り：透明感のあるピーティーさを、甘さとフルーティーさが包んでいる。徐々にピート焚きした麦芽。美味しい桜餅や柏餅。
味わい：香りで感じるよりピーティーさが強い。キルンの煙、海辺の焚き火。焼いたグレープフルーツの皮。加水すると、甘さがでて、やや優しくなる。
フィニッシュ：スパイシーでホットなフィニッシュ。",https://www.saketry.com/113239.html,日本,アイラ,漫画ラベルシリーズ,ウイスキー・ミュウ,53.4,700,,2013,8
『黄昏流星群』ラベル シークレットアイラ 2018 4年 53.7% 700ML漫画ラベル,"香り：すっきりとしてフレッシュ。柑橘類(みかん)の皮。奥にかすかにレザーと土。
味わい：さわやかで力強い。ピーティーでスモーキー。若いがウッディーな苦味がある。海辺のバーベキュー。加水してもパワフルさは衰えない。
フィニッシュ：甘いがスパイシーな長く続くフィニッシュ。",https://www.saketry.com/113241.html,スコットランド,アイラ,漫画ラベルシリーズ,,53.7,700,ウイスキー・ミュウ,2018,4
シークレットハイランド 2010 13年 シェリーカスク 52.1% 700mlディスティラリーズ・コレクション,,https://www.saketry.com/113242.html,スコットランド,ハイランド,ディスティラリーズ・コレクション,スコッチモルト・セールス,52.1,700,,2010,13
シークレットオークニー  2006 17年 ホグスヘッド 51.7% 700mlディスティラリーズ・コレクション,,https://www.saketry.com/113243.html,スコットランド,アイランズ,ディスティラリーズ・コレクション,スコッチモルト・セールス,51.7,700,,2006,17
バルメナック 2013 10年 シェリーホグスヘッド 53.8% 700mlディスティラリーズ・コレクション,,https://www.saketry.com/113244.html,スコットランド,スぺイサイド,ディスティラリーズ・コレクション,スコッチモルト・セールス,53.8,700,バルメナック蒸溜所,2013,10
グレンロセス 1992 30年 ホグスヘッド 48.3% 700mlザ・テイスター,,https://www.saketry.com/113245.html,スコットランド,スぺイサイド,ザ・テイスター,,48.3,700,グレンロセス蒸溜所,1992,30
【限定377本】シークレットアイラ 2017 6年 ウイスキペディア×Pen コラボレーションボトル 53.9% 700mlウイスキペディア×Pen,"香り：青リンゴ、ピートとキャラメル
味わい：燻製、ドライな麦感、フレッシュな果物、若さ由来のアタック感
フィニッシュ：煙と麦がかすかなスパイスを伴いながら広がっていく",https://www.saketry.com/113246.html,スコットランド,アイラ,ウイスキペディア×Pen,ザ・ウイスキーエージェンシー,53.9,700,,2017,6
【限定58本】シークレットアイラ 2009 14年 ウイスキペディア×Pen コラボレーションボトル 51.7% 700mlウイスキペディア×Pen,"香り：薬品的なピート、果物、わずかにハーブティーの味わい
味わい：甘いモルト、柑橘類、ミネラル、焚火を思わせる煙感
フィニッシュ：軽やかなボディから静かに伸びていく煙とフルーティーさが長引く",https://www.saketry.com/113247.html,スコットランド,アイラ,ウイスキペディア×Pen,ザ・ウイスキーエージェンシー,51.7,700,,2009,14
ベンネヴィス 1998 25年 ホグスヘッド 能登チャリティーボトル 49.4% 700mlザ・モルトマン,,https://www.saketry.com/113248.html,スコットランド,ハイランド,ザ・モルトマン,メドウサイド・ブレンディング,49.4,700,ベンネヴィス蒸溜所,1998,25
ノックデュー 2013 10年 シェリーカスク 能登チャリティーボトル 54.8% 700mlザ・モルトマン,,https://www.saketry.com/113249.html,スコットランド,スぺイサイド,ザ・モルトマン,メドウサイド・ブレンディング,54.8,700,ノックデュー蒸溜所,2013,10
『銀河英雄伝説』ラインハルト ラベル プルトニー 2013 9年 52.3% 700ML漫画ラベルシリーズ,"香り：エステリーでフルーティー。さわやかに甘い。ピーチ、ヨーグルト、青リンゴ、わずかにイースト。奥に潮っぽさ。
味わい：ラフランス、レモン、シャインマスカット。澄んだ麦汁。オイリーなテクスチャー。
フィニッシュ：ややスパイシー。",https://www.saketry.com/113251.html,スコットランド,ハイランド,漫画ラベル,ウイスキーミュウ,52.3,700,プルトニー蒸溜所,2013,9
『銀河英雄伝説』ヤン・ウェンリー・ラベル カリラ 2010 12年 53.4% 700ML漫画ラベル,"香り：さわやかにスモーキー。ピート焚きした麦芽の甘み。海草、海辺の焚き火。
味わい：はっきりとピーティー。レモングラスの酸味。透明感がある。加水すると麦汁感が強くなる。
フィニッシュ：すっきりとして、ややスパイシー。",https://www.saketry.com/113252.html,スコットランド,アイラ,漫画ラベルシリーズ,ウイスキーミュウ,53.4,700,カリラ蒸溜所,2010,12
『西伊豆木負』ラベル 川瀬巴水 ベンネヴィス 2012  10年 56.1% 700MLアートエクスプレッション,"香り：ダークチョコレート。デーツやプルーンなどのドライフルーツ。徐々に、タールのようなオイリーさが強くなってくる。
味わい：ドライオロロソの味が口の中に広がる。酸味とタンニンのビターさ。加水するとワクシーさがでてくる。
フィニッシュ：濃厚で長く続くフィニッシュ。",https://www.saketry.com/113253.html,スコットランド,ハイランド尾,アートエクスプレション,ウイスキー・ミュウ,56.1,700,ベンネヴィス蒸溜所,2012,10
『東京十二景 馬込の月』ラベル  川瀬巴水 クラインリーシュ 2011 12年 61.0% 700MLアートエクスプレッション,"香り：フレッシュなリンゴ。甘い麦汁。ヨーグルト味のキャンディー。背後にある微かなスモーク。
味わい：ドライでスパイシー。穀物感のあるオイリーなテクスチャー。加水するとフルーティーさがでてくる。
フィニッシュ：ワクシーでホットな、長く続くフィニッシュ。",https://www.saketry.com/113254.html,スコットランド,ハイランド,アートエクスプレション,ウイスキー・ミュウ,61,700,クライヌリッシュ蒸留所,2011,12
アードモア 2013 10年 52.5% 700mlザ・クーパーズチョイス,"香り：ライトなピートの煙とバニラキャラメル
味わい：穏やかでドライなピートにショウガと柔らかな煙に包まれたバニラのヒント
フィニッシュ：長く続く煙とバニラ",https://www.saketry.com/113265.html,スコットランド,ハイランド,ザ・クーパーズ・チョイス,ザ・ビンテージモルト,52.5,700,アードモア蒸溜所,2013,10
